;OS;Count;Count_sp;signalHsmm;signalP;diff
835;Cavia porcellus (Guinea pig).;678;97;0,922192452;0,983675497;-0,061483046
900;Cervus elaphus (Red deer).;78;15;0,936507937;1;-0,063492063
4045;Rhipicephalus sanguineus (Brown dog tick) (Ixodes sanguineus).;141;3;0,862318841;0,927536232;-0,065217391
4656;Theileria parva (East coast fever infection agent).;114;4;0,809090909;0,875;-0,065909091
3327;Panax ginseng (Korean ginseng).;213;12;0,882075472;0,948113208;-0,066037736
4098;Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast).;283;10;0,881684982;0,948168498;-0,066483516
733;Camelus dromedarius (Dromedary) (Arabian camel).;55;6;0,931972789;1;-0,068027211
3257;Oryctolagus cuniculus (Rabbit).;1837;171;0,8948948;0,963025561;-0,068130761
4442;Spinacia oleracea (Spinach).;492;3;0,931833674;1;-0,068166326
76;Agkistrodon piscivorus piscivorus (Eastern cottonmouth).;63;5;0,931034483;1;-0,068965517
3092;Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987).;3036;34;0,875818082;0,94572246;-0,069904377
1994;Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi).;85;7;0,926739927;1;-0,073260073
3804;Pongo pygmaeus (Bornean orangutan).;455;48;0,847563473;0,926341114;-0,078777641
752;Candida maltosa (Yeast).;78;2;0,921052632;1;-0,078947368
3629;Pichia angusta (Yeast) (Hansenula polymorpha).;122;3;0,915966387;0,995798319;-0,079831933
2311;Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans).;364;5;0,818384401;0,898607242;-0,080222841
4103;Saccharomyces cerevisiae (strain JAY291) (Baker's yeast).;409;9;0,864166667;0,944444444;-0,080277778
4975;Vitis vinifera (Grape).;318;7;0,919614148;1;-0,080385852
766;Canis familiaris (Dog) (Canis lupus familiaris).;1640;226;0,885878885;0,966560689;-0,080681804
