OS;Count;signalHsmm;signalP;diff;sp_count
Chenopodium album (Fat-hen).;3;1;1;0;1
Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera).;9;1;1;0;2
Chionodraco hamatus (Antarctic teleost icefish) (Chaenichthys rhinoceratus hamatus).;2;1;1;0;1
Chironomus tentans (Midge) (Camptochironomus tentans).;33;1;1;0;3
Chironomus thummi thummi (Midge).;23;1;1;0;14
Chiropotes satanas (Brown-bearded saki).;2;1;1;0;1
Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana).;22;1;1;0;1
Clarias gariepinus (African sharptooth catfish) (North African catfish).;4;1;1;0;3
Claviceps fusiformis (Ergot fungus).;20;1;1;0;1
Clitoria ternatea (Butterfly pea).;2;1;1;0;1
Colletotrichum lindemuthianum (Bean anthracnose fungus) (Glomerella lindemuthiana).;5;1;1;0;2
Colobus polykomos (Western black-and-white colobus monkey).;5;1;1;0;1
Columba livia (Rock dove).;66;1;1;0;3
Conus purpurascens (Purple cone).;3;1;1;0;2
Coptis japonica (Japanese goldthread).;9;1;1;0;1
Coregonus autumnalis (Arctic cisco) (Salmo autumnalis).;24;1;1;0;4
Crassostrea gigas (Pacific oyster) (Crassostrea angulata).;8;1;1;0;3
Crassostrea virginica (Eastern oyster).;6;1;1;0;5
Craterostigma plantagineum (Blue gem) (Torenia plantagineum).;103;1;1;0;1
Cricetulus migratorius (Gray dwarf hamster).;2;1;1;0;1
Cricetus cricetus (Black-bellied hamster).;6;1;1;0;1
Crocus vernus (Dutch crocus).;3;1;1;0;2
Crotalus atrox (Western diamondback rattlesnake).;57;1;1;0;15
Crotalus durissus cascavella (Northeastern Brazilian rattlesnake).;2;1;1;0;1
Crotalus durissus collilineatus (Brazilian rattlesnake).;20;1;1;0;1
Crotalus durissus terrificus (South American rattlesnake).;94;1;1;0;17
Crotalus horridus (Timber rattlesnake).;4;1;1;0;1
Crotalus scutulatus scutulatus (Mojave rattlesnake).;3;1;1;0;2
Crotalus viridis viridis (Prairie rattlesnake).;29;1;1;0;9
Cryptococcus gattii serotype B (strain WM276 / ATCC MYA-4071) (Filobasidiella gattii) (Cryptococcus bacillisporus).;21;1;1;0;1
Ctenopharyngodon idella (Grass carp) (Leuciscus idella).;7;1;1;0;2
Cucumis melo (Muskmelon).;10;1;1;0;1
Cucurbita maxima (Pumpkin) (Winter squash).;54;1;1;0;3
Cucurbita pepo (Vegetable marrow) (Summer squash).;30;1;1;0;1
Culex pipiens (House mosquito).;20;1;1;0;1
Culex pipiens pipiens (Northern house mosquito).;2;1;1;0;1
Cupiennius salei (American wandering spider).;7;1;1;0;6
Cyberlindnera mrakii (Yeast) (Williopsis mrakii).;2;1;1;0;1
Cyberlindnera saturnus (Yeast) (Williopsis saturnus).;2;1;1;0;1
Cylindrotheca fusiformis (Marine diatom).;19;1;1;0;1
Cynara cardunculus (Cardoon).;43;1;1;0;2
Cynodon dactylon (Bermuda grass) (Panicum dactylon).;3;1;1;0;1
Cynops pyrrhogaster (Japanese common newt).;41;1;1;0;3
Daboia palaestinae (Palestine viper) (Vipera palaestinae).;5;1;1;0;3
Daboia russelii (Russel's viper) (Vipera russelii).;88;1;1;0;12
Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis).;50;1;1;0;31
Dama dama (Fallow deer) (Cervus dama).;24;1;1;0;2
